Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,"Mouse orthology confidence [0 low, 1 high]"
ENSG00000198727,MT-CYB,ENSMUSG00000064370,mt-Cytb,78.1579,77.9528,1
ENSG00000210195,MT-TT,,,,,
ENSG00000210196,MT-TP,,,,,
ENSG00000278457,5S_rRNA,,,,,
ENSG00000276197,,,,,,
ENSG00000278625,U6,,,,,
ENSG00000271254,,,,,,
ENSG00000278633,,,,,,
ENSG00000277630,,,,,,
ENSG00000278573,,,,,,
ENSG00000278294,5_8S_rRNA,,,,,
ENSG00000274917,RNA5-8SN5,,,,,
ENSG00000278066,,,,,,
ENSG00000273730,5_8S_rRNA,,,,,
ENSG00000277196,,ENSMUSG00000003526,Prodh,81.8333,81.9699,1
ENSG00000273937,,,,,,
ENSG00000278793,U6,,,,,
ENSG00000278817,,ENSMUSG00000003531,Dgcr6,83.1818,78.5408,1
ENSG00000276017,,,,,,
ENSG00000274202,U2,,,,,
ENSG00000275987,U1,ENSMUSG00000087949,Gm24251,50.6944,64.0351,0
ENSG00000268674,,,,,,
ENSG00000275661,,,,,,
ENSG00000276351,,ENSMUSG00002075214,Gm56421,91.3043,90,1
ENSG00000277475,,,,,,
ENSG00000276345,,ENSMUSG00000037772,Mrpl23,79.7386,70.9302,1
ENSG00000275405,U1,,,,,
ENSG00000273532,,ENSMUSG00002076121,Gm56420,91.5493,91.5493,1
ENSG00000276711,U2,,,,,
ENSG00000278384,,,,,,
ENSG00000276312,,,,,,
ENSG00000276700,RNA5-8SN4,,,,,
ENSG00000275757,5_8S_rRNA,,,,,
ENSG00000273739,,,,,,
ENSG00000274175,,,,,,
ENSG00000273554,,ENSMUSG00000019558,Slc6a8,94.4882,93.75,1
ENSG00000275869,,,,,,
ENSG00000278510,,,,,,
ENSG00000273843,,,,,,
ENSG00000277836,,,,,,
ENSG00000277374,U1,ENSMUSG00000088258,Gm24291,59.6591,64.8148,0
ENSG00000276932,Y_RNA,,,,,
ENSG00000277400,,,,,,
ENSG00000274847,MAFIP,,,,,
ENSG00000291360,RPL23AP45,,,,,
ENSG00000277428,Y_RNA,,,,,
ENSG00000276256,,,,,,
ENSG00000273748,,ENSMUSG00000031590,Frg1,80.4878,38.3721,0
ENSG00000275063,,ENSMUSG00000095866,Ighv2-4,57.265,57.7586,0
ENSG00000275063,,ENSMUSG00000094164,Ighv2-3,59.8291,60.8696,0
ENSG00000275063,,ENSMUSG00000076670,Ighv3-5,62.3932,62.3932,0
ENSG00000275063,,ENSMUSG00000103939,Ighv3-4,61.5385,61.5385,0
ENSG00000275063,,ENSMUSG00000076674,Ighv3-8,64.1026,57.2519,0
ENSG00000275063,,ENSMUSG00000076676,Ighv12-3,61.5385,61.5385,0
ENSG00000275063,,ENSMUSG00000096670,Ighv2-6,60.6838,61.2069,0
ENSG00000275063,,ENSMUSG00000093838,Ighv3-1,65.812,66.3793,0
ENSG00000275063,,ENSMUSG00000095565,Ighv2-9-1,59.8291,60.3448,0
ENSG00000275063,,ENSMUSG00000076646,Ighv2-6-8,58.9744,59.4828,0
ENSG00000275063,,ENSMUSG00000096464,Ighv2-2,57.265,57.7586,0
ENSG00000275063,,ENSMUSG00000096638,Ighv2-9,61.5385,62.069,0
ENSG00000275063,,ENSMUSG00000076672,Ighv3-6,66.6667,67.2414,0
ENSG00000275063,,ENSMUSG00000096498,Ighv2-5,56.4103,56.8966,0
ENSG00000275063,,ENSMUSG00000094029,Ighv3-3,65.812,66.3793,0
ENSG00000275063,,ENSMUSG00000096824,Ighv2-7,59.8291,60.3448,0
ENSG00000277856,,,,,,
ENSG00000278704,,,,,,
ENSG00000282162,LINC01784,,,,,
ENSG00000281934,PRAMEF11,,,,,
ENSG00000282116,PRAMEF30P,,,,,
ENSG00000282175,HNRNPCL1,,,,,
ENSG00000282817,PRAMEF2,,,,,
ENSG00000282584,PRAMEF4,,,,,
ENSG00000282663,PRAMEF10,,,,,
ENSG00000279195,PRAMEF7,,,,,
ENSG00000282338,RNU6-1072P,,,,,
ENSG00000282549,PRAMEF29P,,,,,
ENSG00000282119,PRAMEF6,,,,,
ENSG00000282791,PRAMEF28P,,,,,
ENSG00000282437,PRAMEF27,,,,,
ENSG00000282559,HNRNPCL3,,,,,
ENSG00000282566,PRAMEF25,,,,,
ENSG00000282258,PRAMEF34P,,,,,
ENSG00000282562,PRAMEF35P,,,,,
ENSG00000282530,HNRNPCL2,,,,,
ENSG00000282341,,,,,,
ENSG00000281987,PRAMEF26,,,,,
ENSG00000282095,HNRNPCL4,,,,,
ENSG00000282298,PRAMEF9,,,,,
ENSG00000282741,PRAMEF13,,,,,
ENSG00000282212,PRAMEF18,,,,,
ENSG00000282289,PRAMEF31P,,,,,
ENSG00000282424,PRAMEF5,,,,,
ENSG00000282216,PRAMEF32P,,,,,
ENSG00000282288,RNU6-771P,,,,,
ENSG00000282583,PRAMEF8,,,,,
ENSG00000282125,PRAMEF33,,,,,
ENSG00000282468,PRAMEF36P,,,,,
ENSG00000290624,,,,,,
ENSG00000262647,OR9G4,,,,,
ENSG00000281107,OR5G3,,,,,
ENSG00000262268,OR9G3P,,,,,
ENSG00000281313,OR5G1P,,,,,
ENSG00000281279,OR5G4P,,,,,
ENSG00000281777,OR9G2P,,,,,
ENSG00000261958,OR9G1,,,,,
ENSG00000281683,,,,,,
ENSG00000262191,OR9G9,,,,,
ENSG00000281839,LINC02735,,,,,
ENSG00000262535,OR5G5P,,,,,
ENSG00000290500,,,,,,
ENSG00000288263,GRK1,,,,,
ENSG00000288305,LINC00552,,,,,
ENSG00000291426,TOLLIP,,,,,
ENSG00000291427,TOLLIP-DT,,,,,
ENSG00000291429,,,,,,
ENSG00000291430,LINC02689,,,,,
ENSG00000291428,BRSK2,,,,,
ENSG00000291441,,,,,,
ENSG00000291431,DUSP8,,,,,
ENSG00000291432,KRTAP5-AS1,,,,,
ENSG00000291433,KRTAP5-1,,,,,
ENSG00000291434,KRTAP5-2,,,,,
ENSG00000291435,KRTAP5-3,,,,,
ENSG00000291440,KRTAP5-4,,,,,
ENSG00000291443,KRTAP5-5,,,,,
ENSG00000291436,,,,,,
ENSG00000291437,FAM99A,,,,,
ENSG00000291438,FAM99B,,,,,
ENSG00000291439,LINC02708,,,,,
ENSG00000291442,MOB2,,,,,
ENSG00000215601,TSPY24P,,,,,
ENSG00000215603,ZNF92P1Y,,,,,
ENSG00000231436,RBMY3AP,,,,,
ENSG00000225878,SERBP1P2,,,,,
ENSG00000236435,TSPY12P,,,,,
ENSG00000278478,,,,,,
ENSG00000258991,DUX4L19,,,,,
ENSG00000237048,TTTY12,,,,,
ENSG00000147761,TTTY7B,,,,,
ENSG00000224518,,,,,,
ENSG00000231988,OFD1P3Y,,,,,
ENSG00000238073,RBMY2HP,,,,,
ENSG00000275866,,,,,,
ENSG00000131538,TTTY6,,,,,
ENSG00000271595,ELOCP35,,,,,
ENSG00000183704,SLC9B1P1,,,,,
ENSG00000232927,USP12PY,,,,,
ENSG00000239225,TTTY23,,,,,
ENSG00000277438,KDM5DP1,,,,,
ENSG00000147753,TTTY7,,,,,
ENSG00000286217,LINC00279,,,,,
ENSG00000259154,DUX4L17,,,,,
ENSG00000169789,PRY,,,,,
ENSG00000231874,TSPY18P,,,,,
ENSG00000273589,,,,,,
ENSG00000226061,PCMTD1P1,,,,,
ENSG00000273863,,,,,,
ENSG00000228571,HSFY7P,,,,,
ENSG00000271375,,,,,,
ENSG00000224634,ZNF736P6Y,,,,,
ENSG00000285470,TUSC2P1,,,,,
ENSG00000226092,RBMY2AP,,,,,
ENSG00000212856,TTTY2B,,,,,
ENSG00000228890,TTTY21,,,,,
ENSG00000234620,PUDPP1,,,,,
ENSG00000291444,RBMY3AP,,,,,
ENSG00000236690,,,,,,
ENSG00000291445,CDY3P,,,,,
ENSG00000291446,TSPY25P,,,,,
ENSG00000273693,CDRT15P10,,,,,
ENSG00000291447,USP9YP22,,,,,
ENSG00000291448,TSPY16P,,,,,
ENSG00000291449,USP9YP4,,,,,
ENSG00000114374,USP9Y,ENSMUSG00000069044,Usp9y,82.7397,82.7074,1
ENSG00000291450,ELOCP4,,,,,
ENSG00000291451,RBMY1A3P,,,,,
ENSG00000291452,,,,,,
ENSG00000291453,TTTY20,,,,,
ENSG00000291454,FAM197Y8,,,,,
ENSG00000291455,TSPY8,,,,,
ENSG00000291456,FAM197Y7,,,,,
ENSG00000291457,,,,,,
ENSG00000291458,TSPY4,,,,,
ENSG00000291459,TSPY9,,,,,
ENSG00000291460,FAM197Y2,,,,,
ENSG00000291461,FAM197Y4,,,,,
ENSG00000291462,FAM197Y4,,,,,
ENSG00000169807,PRY2,,,,,
ENSG00000234110,TSPY25P,,,,,
ENSG00000223422,,,,,,
ENSG00000231159,OFD1P8Y,,,,,
ENSG00000225653,RNF19BPY,,,,,
ENSG00000251618,,,,,,
ENSG00000229159,TSPY23P,,,,,
ENSG00000228578,TUBB1P2,,,,,
ENSG00000231411,DUX4L31,,,,,
ENSG00000187657,TSPY13P,,,,,
ENSG00000275280,,,,,,
ENSG00000270242,ACTR3BP1,,,,,
ENSG00000236477,RPS24P1,,,,,
ENSG00000129816,TTTY1B,,,,,
ENSG00000237997,RCC2P2,,,,,
ENSG00000244246,ZNF736P8Y,,,,,
ENSG00000234950,RBMY2OP,,,,,
ENSG00000198692,EIF1AY,,,,,
ENSG00000234583,TSPY19P,,,,,
ENSG00000183753,BPY2,,,,,
ENSG00000225433,MTND1P12,,,,,
ENSG00000227166,STSP1,,,,,
ENSG00000228379,,,,,,
ENSG00000285019,ELOCP5,,,,,
ENSG00000285196,CDY10P,,,,,
ENSG00000235857,CTBP2P1,,,,,
ENSG00000285308,USP9YP3,,,,,
ENSG00000223955,MTND6P1,,,,,
ENSG00000285028,USP9YP8,,,,,
ENSG00000237195,DLGAP5P1,,,,,
ENSG00000285455,CDY11P,,,,,
ENSG00000237447,CDC27P2,,,,,
ENSG00000285477,OFD1P16Y,,,,,
ENSG00000185700,TTTY8B,,,,,
ENSG00000270455,PABPC1P5,,,,,
ENSG00000229940,TSPY22P,,,,,
ENSG00000234385,RCC2P1,,,,,
ENSG00000226863,SHROOM2P1,,,,,
ENSG00000212855,TTTY2,,,,,
ENSG00000237968,,,,,,
ENSG00000233699,TTTY18,,,,,
ENSG00000286009,,,,,,
ENSG00000271365,,,,,,
ENSG00000259029,DUX4L18,,,,,
ENSG00000226223,TSPY16P,,,,,
ENSG00000235895,,,,,,
ENSG00000286201,,,,,,
ENSG00000223744,RBMY2GP,,,,,
ENSG00000215537,ZNF736P11Y,,,,,
ENSG00000230476,OFD1P9Y,,,,,
ENSG00000225840,,,,,,
ENSG00000229745,BPY2DP,,,,,
ENSG00000227204,RBMY2JP,,,,,
ENSG00000275828,CHEK2P1,,,,,
ENSG00000232617,,,,,,
ENSG00000225615,RBMY2UP,,,,,
ENSG00000230663,FAM224B,,,,,
ENSG00000232522,ZNF886P,,,,,
ENSG00000234131,ELOCP8,,,,,
ENSG00000277519,OFD1P16Y,,,,,
ENSG00000259247,TTTY25P,,,,,
ENSG00000224336,FAM197Y1,,,,,
ENSG00000273731,,,,,,
ENSG00000236951,,,,,,
ENSG00000215583,ASS1P6,,,,,
ENSG00000274162,SNX18P1Y,,,,,
ENSG00000229208,RBMY2NP,,,,,
ENSG00000129845,TTTY1,,,,,
ENSG00000227444,,,,,,
ENSG00000233774,MED14P1,,,,,
ENSG00000232475,HSFY5P,,,,,
ENSG00000228764,ZNF885P,,,,,
ENSG00000232226,ARSFP1,,,,,
ENSG00000224567,,,,,,
ENSG00000241200,ZNF736P7Y,,,,,
ENSG00000228518,SURF6P1,,,,,
ENSG00000227447,XGY1,,,,,
ENSG00000274231,,,,,,
ENSG00000286050,,,,,,
ENSG00000274502,ANKRD20A6P,,,,,
ENSG00000235094,,,,,,
ENSG00000278854,,,,,,
ENSG00000183385,TTTY8,,,,,
ENSG00000225809,RBMY2KP,,,,,
ENSG00000237902,TSPY21P,,,,,
ENSG00000232419,TTTY19,,,,,
ENSG00000232620,TSPY17P,,,,,
ENSG00000226906,TTTY4,,,,,
ENSG00000230025,,,,,,
ENSG00000236786,TSPY15P,,,,,
ENSG00000224075,TTTY22,,,,,
ENSG00000238235,TSPY11P,,,,,
ENSG00000274445,,,,,,
ENSG00000235649,MXRA5Y,,,,,
ENSG00000258567,DUX4L16,,,,,
ENSG00000236424,TSPY10,,,,,
ENSG00000282467,,,,,,
ENSG00000234179,MTCYBP1,,,,,
ENSG00000271309,,,,,,
ENSG00000229553,USP9YP17,,,,,
ENSG00000228240,TTTY17A,,,,,
ENSG00000234652,AGPAT5P1,,,,,
ENSG00000218410,,,,,,
ENSG00000243643,TSPY20P,,,,,
ENSG00000224989,FAM41AY1,,,,,
ENSG00000131548,TTTY6B,,,,,
ENSG00000232029,ELOCP15,,,,,
ENSG00000273858,,,,,,
ENSG00000227830,TRIM60P3Y,,,,,
ENSG00000226529,MTND1P1,,,,,
ENSG00000229643,LINC00280,,,,,
ENSG00000274837,,,,,,
ENSG00000216777,PRRC2CP1,,,,,
ENSG00000216824,ZNF736P10Y,,,,,
ENSG00000275352,,,,,,
ENSG00000276829,,,,,,
ENSG00000258992,TSPY1,,,,,
ENSG00000228850,CDY12P,,,,,
ENSG00000283076,,,,,,
ENSG00000234850,MTND2P3,,,,,
ENSG00000224873,CDY13P,,,,,
ENSG00000229234,RBMY1KP,,,,,
ENSG00000270570,,,,,,
ENSG00000237563,TTTY21B,,,,,
ENSG00000223517,,,,,,
ENSG00000228207,,,,,,
ENSG00000224917,,,,,,
ENSG00000286187,,,,,,
ENSG00000225117,ARSDP1,,,,,
ENSG00000215560,TTTY5,,,,,
ENSG00000228411,CDY4P,,,,,
ENSG00000235059,,,,,,
ENSG00000244395,RBMY1D,ENSMUSG00000093918,Gm21677,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000093987,Gm21704,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000094511,Gm21693,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000102053,Gm4064,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000101667,Gm29289,17.1371,51.2048,0
ENSG00000244395,RBMY1D,ENSMUSG00000095852,Gm10256,31.6532,41.3158,0
ENSG00000244395,RBMY1D,ENSMUSG00000094658,Rbmy,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000091987,Gm10352,31.6532,41.3158,0
ENSG00000244395,RBMY1D,ENSMUSG00000095948,Gm21708,31.4516,41.0526,0
ENSG00000244395,RBMY1D,ENSMUSG00000096520,Gm3376,32.0564,41.8421,0
ENSG00000284255,OR4C12,,,,,
ENSG00000284278,OR4C48P,,,,,
ENSG00000292249,OR4C45,,,,,
ENSG00000284123,OR4C49P,,,,,
ENSG00000230727,RBMY2WP,,,,,
ENSG00000230814,USP9YP24,,,,,
ENSG00000229725,,,,,,
ENSG00000229236,TTTY10,,,,,
ENSG00000229518,UBE2V1P3,,,,,
ENSG00000232730,FAM8A4P,,,,,
ENSG00000229308,,,,,,
ENSG00000244000,,,,,,
ENSG00000232764,TRIM60P8Y,,,,,
ENSG00000236131,MED13P1,,,,,
ENSG00000270073,TSPY6P,,,,,
ENSG00000227949,CYCSP46,,,,,
ENSG00000252900,RNU6-303P,ENSMUSG00000088106,Gm22378,78.3019,74.7748,0
ENSG00000252900,RNU6-303P,ENSMUSG00002075239,Gm55662,57.5472,57.5472,0
ENSG00000251766,RNA5SP518,,,,,
ENSG00000252689,,,,,,
ENSG00000243980,RN7SL702P,,,,,
ENSG00000252315,RNA5SP520,,,,,
ENSG00000252012,RNA5SP521,,,,,
ENSG00000273966,,,,,,
ENSG00000252173,RNU6-109P,ENSMUSG00000088706,Gm25552,64.486,75.8242,0
ENSG00000251705,RNA5-8SP6,,,,,
ENSG00000252289,RNA5SP519,,,,,
ENSG00000252323,RNU6-184P,ENSMUSG00000088706,Gm25552,64.486,75.8242,0
ENSG00000169953,HSFY2,ENSMUSG00000045336,Hsfy2,44.389,45.4082,0
ENSG00000236429,GPM6BP2,,,,,
ENSG00000249501,USP9YP2,,,,,
ENSG00000228193,ELOCP14,,,,,
ENSG00000248573,PRYP6,,,,,
ENSG00000230904,XKRYP2,,,,,
ENSG00000238135,USP9YP10,,,,,
ENSG00000224151,USP9YP28,,,,,
ENSG00000251970,RNU1-41P,ENSMUSG00000065212,Gm26264,74.0741,75.4717,0
ENSG00000251970,RNU1-41P,ENSMUSG00000092743,Gm22177,60.4938,62.0253,0
ENSG00000251970,RNU1-41P,ENSMUSG00000077384,Gm22658,63.5802,66.4516,0
ENSG00000238088,OFD1P7Y,,,,,
ENSG00000217179,MTCYBP2,,,,,
ENSG00000217896,ZNF839P1,,,,,
ENSG00000185275,CD24P4,,,,,
ENSG00000252766,RNU6-255P,,,,,
ENSG00000274282,,,,,,
ENSG00000234529,GAPDHP19,,,,,
ENSG00000238191,CLUHP1,,,,,
ENSG00000226353,TAF9P1,,,,,
ENSG00000275578,,,,,,
ENSG00000226449,CDY5P,,,,,
ENSG00000225896,ELOCP36,,,,,
ENSG00000224166,PRYP1,,,,,
ENSG00000229129,ACTG1P2,,,,,
ENSG00000223555,USP9YP23,,,,,
ENSG00000235521,USP9YP27,,,,,
ENSG00000252513,RNU1-128P,ENSMUSG00000065212,Gm26264,76.875,77.3585,0
ENSG00000252513,RNU1-128P,ENSMUSG00000092743,Gm22177,61.875,62.6582,0
ENSG00000252513,RNU1-128P,ENSMUSG00000077384,Gm22658,62.5,64.5161,0
ENSG00000224964,TRAPPC2P3,,,,,
ENSG00000226011,OFD1P1Y,,,,,
ENSG00000225740,ELOCP6,,,,,
ENSG00000229138,CDY6P,,,,,
ENSG00000224485,USP9YP7,,,,,
ENSG00000226116,USP9YP6,,,,,
ENSG00000237558,CDY7P,,,,,
ENSG00000233378,USP9YP34,,,,,
ENSG00000237616,USP9YP32,,,,,
ENSG00000224033,CDY8P,,,,,
ENSG00000230412,ELOCP12,,,,,
ENSG00000225895,TRAPPC2P8,,,,,
ENSG00000233120,USP9YP15,,,,,
ENSG00000252166,RNU1-95P,ENSMUSG00000065212,Gm26264,76.875,77.3585,0
ENSG00000252166,RNU1-95P,ENSMUSG00000092743,Gm22177,61.875,62.6582,0
ENSG00000252166,RNU1-95P,ENSMUSG00000077384,Gm22658,62.5,64.5161,0
ENSG00000232744,USP9YP16,,,,,
ENSG00000229465,ACTG1P11,,,,,
ENSG00000231311,PRYP2,,,,,
ENSG00000236599,ELOCP26,,,,,
ENSG00000232899,CDY9P,,,,,
ENSG00000229302,TAF9P2,,,,,
ENSG00000228945,CLUHP2,,,,,
ENSG00000233522,FAM224A,,,,,
ENSG00000278391,,,,,,
ENSG00000251953,RNA5SP522,,,,,
ENSG00000252667,RNA5SP523,,,,,
ENSG00000249726,TUBB1P1,,,,,
ENSG00000226362,FAM41AY2,,,,,
ENSG00000225716,ELOCP13,,,,,
ENSG00000229406,OFD1P4Y,,,,,
ENSG00000227494,USP9YP14,,,,,
ENSG00000252209,RNU1-48P,ENSMUSG00000065212,Gm26264,74.0741,75.4717,0
ENSG00000252209,RNU1-48P,ENSMUSG00000092743,Gm22177,60.4938,62.0253,0
ENSG00000252209,RNU1-48P,ENSMUSG00000077384,Gm22658,63.5802,66.4516,0
ENSG00000249634,USP9YP5,,,,,
ENSG00000251510,,,,,,
ENSG00000238067,XKRYP1,,,,,
ENSG00000233546,PRYP5,,,,,
ENSG00000230377,ELOCP7,,,,,
ENSG00000250951,USP9YP1,,,,,
ENSG00000230458,GPM6BP1,,,,,
ENSG00000131007,TTTY9B,,,,,
ENSG00000235479,RAB9AP4,,,,,
ENSG00000249606,TRAPPC2P7,,,,,
ENSG00000176728,TTTY14,,,,,
ENSG00000267793,,,,,,
ENSG00000260197,,,,,,
ENSG00000288049,,,,,,
ENSG00000012817,KDM5D,ENSMUSG00000056673,Kdm5d,80.7667,80.2972,1
ENSG00000284767,MIR3649,,,,,
ENSG00000285070,ADIPOR2,,,,,
ENSG00000285310,,,,,,
ENSG00000285682,,,,,,
ENSG00000284817,RPS4XP14,,,,,
ENSG00000284953,CACNA2D4,,,,,
ENSG00000286298,,,,,,
ENSG00000285383,LRTM2,,,,,
ENSG00000285149,,,,,,
ENSG00000285233,LINC00940,,,,,
ENSG00000284850,DCP1B,,,,,
ENSG00000285355,,,,,,
ENSG00000285291,CACNA1C-IT1,,,,,
ENSG00000285324,,,,,,
ENSG00000285107,CACNA1C-AS4,,,,,
ENSG00000284775,CACNA1C-IT3,,,,,
ENSG00000285924,,,,,,
ENSG00000172468,HSFY1,ENSMUSG00000045336,Hsfy2,44.389,45.4082,0
ENSG00000285983,,,,,,
ENSG00000284942,CACNA1C-AS3,,,,,
ENSG00000284759,,,,,,
ENSG00000285101,CACNA1C-AS2,,,,,
ENSG00000285335,CACNA1C-AS1,,,,,
ENSG00000176679,TGIF2LY,ENSMUSG00000100133,Tgif2lx1,24.8649,19.9134,0
ENSG00000176679,TGIF2LY,ENSMUSG00000100194,Tgif2lx2,24.8649,19.9134,0
ENSG00000169800,RBMY1F,ENSMUSG00000093918,Gm21677,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000093987,Gm21704,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000094511,Gm21693,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000102053,Gm4064,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000101667,Gm29289,16.9355,50.6024,0
ENSG00000169800,RBMY1F,ENSMUSG00000095852,Gm10256,31.6532,41.3158,0
ENSG00000169800,RBMY1F,ENSMUSG00000094658,Rbmy,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000091987,Gm10352,31.6532,41.3158,0
ENSG00000169800,RBMY1F,ENSMUSG00000095948,Gm21708,31.4516,41.0526,0
ENSG00000169800,RBMY1F,ENSMUSG00000096520,Gm3376,32.0564,41.8421,0
ENSG00000285479,CACNA1C,,,,,
ENSG00000182415,CDY2A,,,,,
ENSG00000233126,ZNF736P3Y,,,,,
ENSG00000227251,TRIM60P9Y,,,,,
ENSG00000099725,PRKY,,,,,
ENSG00000252633,RN7SKP282,ENSMUSG00002076553,Gm55113,26.7559,77.6699,0
ENSG00000251996,Y_RNA,,,,,
ENSG00000252155,RNU6-941P,ENSMUSG00000087832,Gm23958,72.2222,74.2857,0
ENSG00000252472,RNU6-521P,ENSMUSG00000088995,Gm22764,57.1429,65.2174,0
ENSG00000224953,SRIP3,,,,,
ENSG00000274365,,,,,,
ENSG00000233634,GOT2P5,,,,,
ENSG00000237701,ATP5PFP1,,,,,
ENSG00000273906,,,,,,
ENSG00000232976,TRIM60P10Y,,,,,
ENSG00000226270,ZNF736P2Y,,,,,
ENSG00000227837,TRIM60P11Y,,,,,
ENSG00000278602,,,,,,
ENSG00000223978,ZNF736P1Y,,,,,
ENSG00000278197,,,,,,
ENSG00000230819,ZNF736P5Y,,,,,
ENSG00000185894,BPY2C,,,,,
ENSG00000228296,TTTY4C,,,,,
ENSG00000205916,DAZ4,ENSMUSG00000010592,Dazl,24.4813,59.396,0
ENSG00000129873,CDY2B,,,,,
ENSG00000251841,RNU6-1334P,,,,,
ENSG00000184895,SRY,ENSMUSG00000069036,Sry,34.3137,17.7215,0
ENSG00000237659,RNASEH2CP1,,,,,
ENSG00000232195,TOMM22P2,,,,,
ENSG00000286130,,,,,,
ENSG00000129824,RPS4Y1,,,,,
ENSG00000229163,NAP1L1P2,,,,,
ENSG00000278847,,,,,,
ENSG00000067646,ZFY,,,,,
ENSG00000233070,ZFY-AS1,,,,,
ENSG00000223600,EEF1A1P41,,,,,
ENSG00000215414,PSMA6P1,,,,,
ENSG00000224035,SFPQP1,,,,,
ENSG00000223915,DPPA2P1,,,,,
ENSG00000067048,DDX3Y,ENSMUSG00000069045,Ddx3y,88.9394,89.2097,1
ENSG00000280963,SERTAD4-AS1,,,,,
ENSG00000281230,SERTAD4,,,,,
ENSG00000281067,ST13P19,,,,,
ENSG00000281552,,,,,,
ENSG00000280680,HHAT,,,,,
ENSG00000287371,,,,,,
ENSG00000281499,RNU5A-8P,,,,,
ENSG00000287648,,,,,,
ENSG00000280937,BPNT2P1,,,,,
ENSG00000234059,CASKP1,,,,,
ENSG00000183878,UTY,ENSMUSG00000068457,Uty,67.7978,80.7756,0
ENSG00000154620,TMSB4Y,ENSMUSG00000049775,Tmsb4x,93.1818,82,1
ENSG00000129864,VCY,,,,,
ENSG00000187191,DAZ3,ENSMUSG00000010592,Dazl,40.1826,59.0604,0
ENSG00000188120,DAZ1,ENSMUSG00000010592,Dazl,23.2527,58.0537,0
ENSG00000285111,,,,,,
ENSG00000284831,BRD7P1,,,,,
ENSG00000285274,,,,,,
ENSG00000284911,RN7SKP205,,,,,
ENSG00000284904,,,,,,
ENSG00000285965,,,,,,
ENSG00000285289,LINC00596,,,,,
ENSG00000285282,DHRS4-AS1,,,,,
ENSG00000286673,,,,,,
ENSG00000290630,,,,,,
ENSG00000285036,DHRS4L1,,,,,
ENSG00000284765,CARMIL3,,,,,
ENSG00000205936,PPP1R12BP2,,,,,
ENSG00000251925,SNORA70,,,,,
ENSG00000286744,,,,,,
ENSG00000225189,REREP1Y,,,,,
ENSG00000230073,,,,,,
ENSG00000215540,RBMY2CP,,,,,
ENSG00000236647,,,,,,
